name,status,update,version
akismet,active,none,3.1.11
amazon-web-services,active,none,0.3.6
amp,active,none,0.3.2
authy-two-factor-authentication,inactive,none,2.5.5
embedly,active,none,4.0.12
flowplayer6-video-player,active,none,1.0.3
google-analytics-for-wordpress,inactive,none,5.5
hello,inactive,none,1.6
https-domain-alias,active,none,1.4.2
hum,active,none,1.2.1
indieauth,active,none,1.1.0
indieweb,active,none,3.0.2
wordpress-indieweb-press-this-master,active,none,1.0.0-dev
jetpack,active,none,4.0.3
micropub,active,none,0.4
osm,inactive,none,3.7
indieweb-post-kinds,active,none,2.3.6
semantic-linkbacks,active,none,3.2.0
syndication-links,active,none,3.0.2
versionpress,inactive,none,2.2
verve-ssl,inactive,none,2.2
wordpress-webactions-master,active,none,1.0.0-dev
webmention,active,none,2.6.0
wordpress-webmention-for-comments-master,active,none,1.0.0
wp-piwik,active,none,1.0.9
wp-fail2ban,active,none,3.0.1
wp-migrate-db,active,none,0.8
amazon-s3-and-cloudfront,active,none,1.0.4
rest-api,active,none,2.0-beta13.1
wordpress-seo,active,none,3.2.5
yourls-link-creator,active,none,2.1.1
